# Emoji Keywords — emoji<TAB>kw1 kw2 kw3 ...
#
# Per-emoji search synonyms attached as invisible rofi metadata, alongside
# the cluster aliases in emoji-aliases.txt. Matched by the rofi filter,
# never displayed in the picker rows.
#
# Format
#   <emoji><TAB>keyword<SPACE>keyword<SPACE>...
#
# Notes
#   - Comments start with #. Blank lines ignored.
#   - The same emoji may be repeated; the handler merges all occurrences.
#   - Read by ~/.config/sway/scripts/emoji-modi-handler on every picker launch.
#
# The first 545 entries below were generated from
# /usr/share/oh-my-zsh/plugins/emoji/gemoji_db.json (CLDR aliases + tags,
# deduped against the description and stopwords). Manual additions to
# extend coverage and refine search are appended below the auto block.

# === Auto (gemoji-derived) ===
0️⃣	zero
💯	100 perfect score
🔢	1234
👍	+1 approve ok thumbsup
👎	-1 bury disapprove thumbsdown
1️⃣	one
👆	2 point
2️⃣	two
3️⃣	three
4️⃣	four
5️⃣	five
6️⃣	six
7️⃣	seven
🎱	8ball billiards
8️⃣	eight
🚨	911 emergency rotating
9️⃣	nine
🔤	abc alphabet
🔡	abcd
🔠	abcd capital letters
♿	accessibility
🤧	achoo sick
🌍	africa earth international world
🛄	airport
🇦🇽	aland
😲	amazed gasp
🇺🇸	america us
😇	angel innocent
💢	angry
😡	angry pout rage
📢	announcement
😠	annoyed mad
👏	applause clap praise
🏹	archery
◀️	arrow backward
⏫	arrow double
⏬	arrow double
🔽	arrow down small
▶️	arrow forward
🔼	arrow small up
🔀	arrows rightwards twisted
🎨	art design paint
🌏	asia earth international world
*️⃣	asterisk
👟	athletic sneaker sport
👊	attack facepunch punch
🍆	aubergine
🍂	autumn
🏆	award contest winner
👜	bag
☑️	ballot
🎍	bamboo
🤕	bandage head hurt
‼️	bangbang
❗	bang heavy
🤢	barf disgusted sick
🇧🇱	barthelemy
⛹️‍♂️	basketball
🚿	bath
😭	bawling cry sad sob
👙	beach
🐚	beach sea
💅	beauty care manicure
🐝	bee
🍻	beers drinks
💪	bicep flex muscle strong workout
🚲	bike
🎁	birthday christmas present
🎈	birthday party
🇬🇼	bissau guinea
🃏	black
✴️	black eight pointed
🙈	blind evil ignore no see
🚫	block entry forbidden no sign
💨	blow dash fast wind
🚙	blue car
☺️	blush pleased relaxed
😊	blush proud
🎓	board college education mortar university
⛵	boat
💣	boom
💥	boom explode
🍳	breakfast egg fried
🍵	breakfast green tea
🔆	brightness high
🔅	brightness low
🇬🇧	british gb uk
🥉	bronze
🍾	bubbly celebration champagne
🐞	bug
🚅	bullettrain front
🚄	bullettrain side
🐰	bunny
🍔	burger
🔥	burn
👨‍💼	business
💼	business
🚏	busstop
☕	cafe coffee espresso
🍰	cake dessert
📲	call calling incoming
📞	call phone
⛺	camping
🍁	canada
🚗	car red
🐈	cat2
💿	cd
🎆	celebration festival
🏁	checkered finish milestone
🥂	cheers toast
👨‍🍳	chef
🍗	chicken meat
👦	child
👧	child
👪	child home parents
👶	child newborn
💝	chocolates gift
🔪	chop cut hocho
🎅	christmas
☃️	christmas snow winter
🌇	city sunrise
🌆	city sunset
🎩	classy tophat
🕐	clock1
🕙	clock10
🕥	clock1030
🕚	clock11
🕦	clock1130
🕛	clock12
🕧	clock1230
🕜	clock130
🕑	clock2
🕝	clock230
🕒	clock3
🕞	clock330
🕓	clock4
🕟	clock430
🕔	clock5
🕠	clock530
🕕	clock6
🕡	clock630
🕖	clock7
🕢	clock730
🕗	clock8
🕣	clock830
🕘	clock9
🕤	clock930
😝	closed eyes out prank stuck
🔐	closed lock security
♣️	clubs
🇨🇳	cn
👨‍💻	coder
😰	cold nervous
❄️	cold weather winter
💬	comment
❓	confused
🎮	console controller play
😎	cool
👮	cop law
🇨🇮	cote ivory
👬	couple date two
👩‍❤️‍💋‍👨	couplekiss
💏	couplekiss
🐄	cow2
💩	crap hankey poop shit
💰	cream dollar moneybag
👸	crown royal
🤴	crown royal
😍	crush eyes heart love
😢	cry sad tear
💘	cupid love
🇨🇼	curacao
🥘	curry paella
✂️	cut
🍴	cutlery
🇨🇿	czech republic
👨	dad father mustache
🕺	dancer
💀	danger dead poison
🎯	dart target
📅	date schedule
🇩🇪	de
🙉	deaf evil hear no
🤝	deal
🐪	desert dromedary
💻	desktop screen
👿	devil evil imp
😈	devil evil imp
💎	diamond
♦️	diamonds
🎲	dice gambling
📁	directory
😥	disappointed nervous phew sweat
📄	document
📜	document
📝	document note pencil
🐩	dog
🐕	dog2
🚯	do litter not
💸	dollar
↕️	down up
🙃	down upside
📉	downwards graph metrics trend
🎭	drama theater
🍸	drink
🍺	drink
💦	drops water workout
🌾	ear
🎧	earphones headphones music
🌎	earth international world
✳️	eight spoked
📧	e-mail
💌	email envelope
✉️	email letter
💍	engaged marriage wedding
♻️	environment green recycle
🇪🇸	es
🇪🇺	eu
🏤	european
🏰	european
🙊	evil hush mute no speak
👓	eyeglasses
😜	eye out prank silly stuck
😻	eyes heart
🐼	face
🦊	face
😿	face sad tear
⏩	fast forward
🐾	feet
👣	feet tracks
🎬	film
🎦	film movie
🎥	film video
🎣	fish
🎏	flags
✈️	flight
🛫	flight
🛬	flight
🐬	flipper
😘	flirt heart kissing
😉	flirt wink
🌷	flower
🌹	flower
💐	flowers
🌸	flower spring
⏳	flowing sand time
👔	formal shirt
🔮	fortune
🇫🇷	fr french
🍌	fruit
🍏	fruit
🍒	fruit
🍓	fruit
🖕	fu
⛽	fuelpump
👾	game invader retro space
🤓	geek glasses
🌐	global international world
🥇	gold
🏅	gold winner
⛳	golf
👋	goodbye wave
👨‍🎓	graduation
📈	graph metrics trend upwards
❔	grey
❕	grey
😁	grin
👥	group team users
🔫	gun shoot weapon
🏋️‍♂️	gym weight workout
